top_hotel_rank,name,country,city_location,state_region,category,hotel_type,luxury_category,short_description,description,official_website,booking_url,google_maps_url,best_time_to_visit,highlights,amenities,dining_information,spa_wellness,activities,why_we_recommend,is_featured,is_popular,is_international_top_50,is_top_hotel,is_india_top_50,display_order,status
24,Hôtel de Paris Monte-Carlo,Monaco,Monte-Carlo,Monte Carlo,"Palaces, Heritage & Cultural Luxury",Luxury Hotel / Resort,"Palaces, Heritage & Cultural Luxury",A legendary Belle Époque palace hotel on Casino Square in the heart of Monaco.,"Hôtel de Paris Monte-Carlo is an icon of Mediterranean glamour since 1864. Featuring opulent Belle Époque architecture, direct access to Thermes Marins Monte-Carlo, and legendary Michelin-starred dining including Louis XV by Alain Ducasse.",https://www.montecarlosbm.com/en/hotel-paris-monte-carlo,https://www.montecarlosbm.com/en/hotel-paris-monte-carlo/booking,https://maps.google.com/?q=Hotel+de+Paris+Monte+Carlo,June to September (Riviera summer season),"Casino Square location, Le Louis XV - Alain Ducasse (3 Michelin stars), underground wine cellars, Thermes Marins access.","Direct access to Thermes Marins wellness center, private beach club access, rooftop pool, valet parking.","Le Louis XV - Alain Ducasse, Le Grill, Ômer, Bar American.","Thermes Marins Monte-Carlo offering state-of-the-art hydrotherapy, fitness, and seawater wellness treatments.","Yacht charters in Monaco harbor, supercar driving experiences, private casino gaming lessons.","The undisputed palace of Monegasque glamour, high-stakes romance, and world-class Riviera gastronomy.",TRUE,TRUE,TRUE,TRUE,FALSE,24,PUBLISHED
25,"Hotel Cipriani, A Belmond Hotel",Italy,Venice,Veneto,"Palaces, Heritage & Cultural Luxury",Luxury Hotel / Resort,"Palaces, Heritage & Cultural Luxury",Venice's legendary luxury hideaway on Giudecca Island with iconic pool and timeless Venetian romance.,"Hotel Cipriani, A Belmond Hotel, sits on the tip of Giudecca Island, offering stunning panoramic views of St. Mark's Square. Famed for its legendary seawater swimming pool, lush gardens, exquisite Cip's Club dining, and private wooden motorboat transfers.",https://www.belmond.com/hotels/europe/italy/venice/belmond-hotel-cipriani,https://www.belmond.com/hotels/europe/italy/venice/belmond-hotel-cipriani/reservations,https://maps.google.com/?q=Hotel+Cipriani+Venice,April to June & September to October,"Olympic-sized unfiltered seawater swimming pool, Casanova's former garden, private wooden boat transfers to St. Mark's, Oro restaurant.","Seawater pool, Casanova Wellness Center, tennis court, private marina, children's club.","Oro (1 Michelin star), Cip's Club, Porticciolo Restaurant, Bar Gabbiano.","Casanova Wellness Center offering relaxing massages, facials, and open-air treatment cabanas.","Private lagoon boat tours, Venetian mask-making workshops, wine tastings in Veneto vineyards.","The ultimate Venetian dream escape offering legendary privacy, stunning lagoon views, and unmatched romance.",TRUE,TRUE,TRUE,TRUE,FALSE,25,PUBLISHED
26,Aman Venice,Italy,Venice,Veneto,"Palaces, Heritage & Cultural Luxury",Luxury Hotel / Resort,"Palaces, Heritage & Cultural Luxury","An intimate 16th-century palazzo right on the Grand Canal in Venice, restored by Aman.","Aman Venice is an architectural masterpiece set in the majestic 16th-century Palazzo Papadopoli on the Grand Canal. Featuring rococo artworks, private walled gardens (a rarity in Venice), and sumptuous suites designed by Jean-Michel Gathy.",https://www.aman.com/resorts/aman-venice,https://www.aman.com/resorts/aman-venice/reservations,https://maps.google.com/?q=Aman+Venice,April to June & September to October,"Grand Canal private boat arrival, private walled gardens, Tiepolo ceiling frescoes, Arva restaurant.","Private gardens, Aman Spa treatment rooms, library salon, private water taxi service.","Arva (Italian fine dining), The Palazzo Dining Room, Aman Bar.",Aman Spa offering holistic treatments drawing on traditional botanical ingredients.,"Private after-hours tours of St. Mark's Basilica, gondola boat building visits, lagoon art tours.",Unsurpassed palace grandeur on the Grand Canal combined with Aman's signature serene exclusivity.,TRUE,TRUE,TRUE,TRUE,FALSE,26,PUBLISHED
27,Belmond Hotel Monasterio,Peru,Cusco,Cusco Region,"Palaces, Heritage & Cultural Luxury",Luxury Hotel / Resort,"Palaces, Heritage & Cultural Luxury","A former 16th-century monastery turned luxury sanctuary in the Andean highlands of Cusco, Peru.","Belmond Hotel Monasterio is a historic treasure located in the heart of Cusco. Built as a monastery in 1592, it features oxygen-enriched rooms to combat altitude sickness, stunning baroque courtyards, and a priceless collection of colonial art.",https://www.belmond.com/hotels/south-america/peru/cusco/belmond-hotel-monasterio,https://www.belmond.com/hotels/south-america/peru/cusco/belmond-hotel-monasterio/reservations,https://maps.google.com/?q=Belmond+Hotel+Monasterio+Cusco,May to September (Dry Andean season),"Oxygen-enriched rooms, 16th-century chapel, colonial courtyard with 300-year-old cedar tree, Illariy restaurant.","Oxygen-enriched suites, spa treatment rooms, courtyard lounge, art gallery, concierge desk.","Illariy (Andean fusion fine dining), El Monasterio Restaurant, Lobby Bar.",Spa treatment rooms offering relaxing massages and coca-leaf herbal therapies.,"Private Cusco walking tours, Pisco sour masterclasses, excursions to Machu Picchu via Hiram Bingham train.",An immersive historical and spiritual journey into Andean heritage with oxygen-enriched comfort in Cusco.,TRUE,TRUE,TRUE,TRUE,FALSE,27,PUBLISHED
28,Raffles Grand Hotel d’Angkor,Cambodia,Siem Reap,Siem Reap Province,"Palaces, Heritage & Cultural Luxury",Luxury Hotel / Resort,"Palaces, Heritage & Cultural Luxury",A historic French colonial landmark hotel adjacent to the legendary Angkor Wat temples in Cambodia.,"Raffles Grand Hotel d’Angkor has welcomed travelers exploring the mystical temples of Angkor since 1932. Surrounded by lush French gardens, it features timeless colonial architecture, a magnificent cage elevator, and the legendary Elephant Bar.",https://www.raffles.com/siem-reap,https://www.raffles.com/siem-reap/reservations,https://maps.google.com/?q=Raffles+Grand+Hotel+dAngkor+Siem+Reap,November to February (Cool and dry),"Proximity to Angkor Wat temples, classic cage elevator, Elephant Bar, iconic 35m swimming pool.","Freestyle swimming pool, Raffles Spa, tennis courts, boutique, 24-hour butler service.","Restaurant Le Grand (Royal Khmer cuisine), 1932, The Conservatory, Elephant Bar.",Raffles Spa offering traditional Khmer herbal massages and aromatherapy treatments.,"Private guided temple tours of Angkor Wat at sunrise, helicopter flights over ruins, Apsara dance dinners.","The historic gateway to Angkor Wat offering classic colonial charm, gracious hospitality, and timeless elegance.",TRUE,TRUE,TRUE,TRUE,FALSE,28,PUBLISHED
29,Amangalla,Sri Lanka,Galle,Southern Province,"Palaces, Heritage & Cultural Luxury",Luxury Hotel / Resort,"Palaces, Heritage & Cultural Luxury","A tranquil colonial sanctuary of calm within the historic walled fortress city of Galle, Sri Lanka.","Amangalla is housed within the historic 17th-century ramparts of Galle Fort, a UNESCO World Heritage Site. Combining Dutch colonial architecture with tranquil gardens, high-ceilinged suites, and traditional Ayurvedic wellness, it is a haven of serenity.",https://www.aman.com/resorts/amangalla,https://www.aman.com/resorts/amangalla/reservations,https://maps.google.com/?q=Amangalla+Galle+Sri+Lanka,December to April (South coast dry season),"Historic Galle Fort rampart views, 17th-century colonial architecture, traditional Ayurvedic spa (The Baths), swimming pool.","Large garden swimming pool, spa and Ayurveda center, library, resident historian tours.","The Dining Room (Sri Lankan and Western), The Verandah, The Great Hall.","The Baths offering authentic Ayurvedic treatments, hydrotherapy pools, and yoga sessions.","Guided walking tours of Galle Fort, tea plantation excursions, whale watching in Mirissa, cycling tours.","An authentic step back in time within a UNESCO fortress, offering sublime colonial architecture and serenity.",TRUE,TRUE,TRUE,TRUE,FALSE,29,PUBLISHED
30,Copacabana Palace,Brazil,Rio de Janeiro,Rio de Janeiro,"Palaces, Heritage & Cultural Luxury",Luxury Hotel / Resort,"Palaces, Heritage & Cultural Luxury",South America's most iconic beachfront grand hotel overlooking Copacabana Beach in Rio de Janeiro.,"Opened in 1923, Copacabana Palace, A Belmond Hotel, is the ultimate symbol of Brazilian glamour. Located directly on Copacabana Beach, it features art deco styling, a legendary rooftop pool, piano bar, and Michelin-starred dining.",https://www.belmond.com/hotels/south-america/brazil/rio-de-janeiro/copacabana-palace,https://www.belmond.com/hotels/south-america/brazil/rio-de-janeiro/copacabana-palace/reservations,https://maps.google.com/?q=Copacabana+Palace+Rio+de+Janeiro,December to March (Carnival & Summer) & May to August (Mild),"Copacabana Beach frontage, iconic semi-olympic swimming pool, Mee (Pan-Asian Michelin star), Pérgula restaurant.","Rooftop tennis court, luxury spa, fitness center, beach service, private event salons.","Mee (1 Michelin star), Cipriani Restaurant, Pérgula, Copacabana Piano Bar.","Copacabana Palace Spa offering relaxing botanical treatments, sauna, and wellness studios.","Private helicopter tours over Christ the Redeemer, samba dance classes, Favela cultural tours, yacht trips.",The legendary palace of Copacabana Beach where timeless glamour meets vibrant Brazilian rhythm.,TRUE,TRUE,TRUE,TRUE,FALSE,30,PUBLISHED
31,Four Seasons Bangkok at Chao Phraya River,Thailand,Bangkok,Bangkok,Iconic City Luxury,Luxury Hotel / Resort,Iconic City Luxury,A contemporary riverside urban resort designed by Jean-Michel Gathy along Bangkok's Chao Phraya River.,"Four Seasons Hotel Bangkok at Chao Phraya River is a masterclass in modern riverfront luxury. Featuring soaring glass facades, terraced courtyards, vibrant art collections, and exceptional culinary destinations including BKK Social Club.",https://www.fourseasons.com/bangkok,https://www.fourseasons.com/bangkok/reservations,https://maps.google.com/?q=Four+Seasons+Bangkok+Chao+Phraya+River,November to February (Cool season),"Chao Phraya River waterfront, BKK Social Club (Asia's 50 Best Bars), outdoor infinity pools, Jean-Michel Gathy design.","Two infinity pools, spa and wellness center, 24-hour fitness center, art gallery, private boat pier.","Yu Ting Yuan (Cantonese fine dining), Riva del Sole, Brasserie Palmer, BKK Social Club.","Urban Spa offering holistic Thai massages, body scrubs, and wellness recovery therapies.","Long-tail boat temple tours, Thai cooking classes, mixology masterclasses, gallery hopping in Charoenkrung.","A striking modern riverside masterpiece offering world-class dining, bars, and cutting-edge design.",TRUE,TRUE,TRUE,TRUE,FALSE,31,PUBLISHED
32,Capella Bangkok,Thailand,Bangkok,Bangkok,Iconic City Luxury,Luxury Hotel / Resort,Iconic City Luxury,An ultra-chic riverside sanctuary offering serene river views and refined butler service in Bangkok.,"Capella Bangkok brings refined residential luxury to the banks of the Chao Phraya River. Every room features unobstructed river views, complemented by Michelin-starred gastronomic experiences by Mauro Colagreco and the serene Auriga Wellness.",https://www.capellahotels.com/en/capella-bangkok,https://www.capellahotels.com/en/capella-bangkok/reservations,https://maps.google.com/?q=Capella+Bangkok,November to February,"All-riverside rooms and villas, Côte by Mauro Colagreco (Michelin-starred), Capella Culturists, private riverside verandas.","Outdoor saltwater lap pool, Auriga Wellness center, fitness center, private boat transfers.","Côte by Mauro Colagreco (Riviera-inspired), Phra Nakhon (Thai riverside dining), Stella bar.","Auriga Wellness offering hydrotherapy facilities, organic treatments, and traditional Thai therapies.","Private river cruises, heritage walks in Charoenkrung district, Thai flower garland weaving workshops.",Impeccable personal service via Capella Culturists and unmatched riverside tranquility.,TRUE,TRUE,TRUE,TRUE,FALSE,32,PUBLISHED
33,Mandarin Oriental Bangkok,Thailand,Bangkok,Bangkok,Iconic City Luxury,Luxury Hotel / Resort,Iconic City Luxury,The iconic grande dame of Bangkok hospitality set in lush tropical gardens along the Chao Phraya River.,"Since 1876, Mandarin Oriental, Bangkok has been a legendary riverside haven, hosting literary greats like Joseph Conrad and Somerset Maugham. Famed for its legendary service, teakwood architecture, and Bamboo Bar jazz lounge.",https://www.mandarinoriental.com/bangkok,https://www.mandarinoriental.com/bangkok/reservations,https://maps.google.com/?q=Mandarin+Oriental+Bangkok,November to February,"Chao Phraya River location, The Bamboo Bar, Le Normandie by Alain Roux (2 Michelin stars), legendary Butler service.","Two outdoor swimming pools, Oriental Spa across the river, tennis courts, fitness center, cooking school.","Le Normandie, The Verandah, Lord Jim's, Sala Rim Naam, The Bamboo Bar.",The Oriental Spa offering Thai herbal treatments and holistic wellness in a teakwood house.,"Thai cooking classes, Muay Thai boxing, river boat transfers, flower arranging workshops.",A legendary sanctuary of Thai hospitality and literary heritage along the majestic Chao Phraya River.,TRUE,TRUE,TRUE,TRUE,FALSE,33,PUBLISHED
34,Four Seasons Firenze,Italy,Florence,Tuscany,Iconic City Luxury,Luxury Hotel / Resort,Iconic City Luxury,A magnificent 15th-century Renaissance palace hotel overlooking Florence and the Duomo.,"Four Seasons Hotel Firenze is an urban resort set within a historic palazzo and former convent, surrounded by a stunning 11-acre private Renaissance park (Giardino della Gherardesca). Featuring original frescoes, Michelin-starred dining, and sublime Florentine luxury.",https://www.fourseasons.com/florence,https://www.fourseasons.com/florence/reservations,https://maps.google.com/?q=Four+Seasons+Hotel+Firenze,May to June & September to October,"11-acre private Renaissance garden park, original 15th-century frescoes, Il Palagio (1 Michelin star), outdoor pool.","Outdoor swimming pool, luxury spa, tennis court, fitness center, historic chapel.","Il Palagio (1 Michelin star), Atrium Bar, Al Fresco (poolside trattoria).","The Spa featuring products by Santa Maria Novella, relaxation rooms, sauna, and holistic treatments.","Private art gallery tours of Uffizi, Chianti wine tasting excursions, Renaissance art history lectures.","An extraordinary combination of museum-quality Renaissance art, historic parklands, and Four Seasons luxury in Florence.",TRUE,TRUE,TRUE,TRUE,FALSE,34,PUBLISHED
35,Bulgari Roma,Italy,Rome,Lazio,Iconic City Luxury,Luxury Hotel / Resort,Iconic City Luxury,A glamorous jewelry-inspired luxury hotel steps from the Spanish Steps in Rome.,"Bulgari Hotel Roma celebrates Roman history and the brand's high jewelry heritage. Overcoming Piazza Augusto Imperatore, it features magnificent travertine architecture, suites styled with iconic Bulgari motifs, and dining curated by Niko Romito.",https://www.bulgarihotels.com/en_US/rome,https://www.bulgarihotels.com/en_US/rome/booking,https://maps.google.com/?q=Bulgari+Hotel+Roma,April to June & September to November,"Piazza Augusto Imperatore location, Bulgari rooftop bar, Il Ristorante Niko Romito, indoor pool with mosaic tiling.","Indoor swimming pool, Bulgari Spa, fitness center, private library, chauffeur service.","Il Ristorante - Niko Romito, Bulgari Dolci, Bulgari Bar and Rooftop terrace.",Bulgari Spa inspired by ancient Roman baths featuring mosaic pools and bespoke wellness treatments.,"Private after-hours tours of the Vatican, VIP shopping on Via Condotti, historic architectural walks.",Unmatched Roman glamour marrying Italian haute horlogerie/jewellery heritage with five-star hospitality.,TRUE,TRUE,TRUE,TRUE,FALSE,35,PUBLISHED
36,Le Bristol Paris,France,Paris,Île-de-France,Iconic City Luxury,Luxury Hotel / Resort,Iconic City Luxury,An iconic Parisian palace on Rue du Faubourg Saint-Honoré offering timeless French elegance and Gastronomy.,"Le Bristol Paris has been a bastion of refined French art de vivre since 1925. Famed for its sun-filled interior courtyard garden, 3-Michelin-star Epicure restaurant, rooftop pool overlooking the Eiffel Tower, and resident cat Fa-Raon.",https://www.oetkercollection.com/hotels/le-bristol-paris,https://www.oetkercollection.com/hotels/le-bristol-paris/reservations,https://maps.google.com/?q=Le+Bristol+Paris,April to October,"Epicure (3 Michelin stars), rooftop indoor pool with Eiffel Tower views, 1,200 sq m courtyard garden, resident cat.","Rooftop indoor pool, La Prairie spa, fitness center, courtyard garden, valet parking.","Epicure (3 Michelin stars), 114 Faubourg (1 Michelin star), Café Bristol, Le Bar Bristol.","Le Bristol by La Prairie spa featuring Russian banya, solarium, and bespoke anti-aging treatments.","Private pâtisserie masterclasses with chef Maxime Frédéric, private museum tours, fashion boutique visits.","The pinnacle of authentic French palace luxury, renowned cuisine, and warm family-friendly hospitality.",TRUE,TRUE,TRUE,TRUE,FALSE,36,PUBLISHED
37,Four Seasons Hotel George V,France,Paris,Île-de-France,Iconic City Luxury,Luxury Hotel / Resort,Iconic City Luxury,The legendary palace hotel near the Champs-Élysées known for its historic grandeur and gastronomic excellence.,"Opened in 1928, Four Seasons Hotel George V is an art deco masterpiece just off the Golden Triangle of Paris. Famed for its breathtaking floral displays by Jeff Leatham, three Michelin-starred dining experiences, and palatial suites.",https://www.fourseasons.com/paris,https://www.fourseasons.com/paris/reservations,https://maps.google.com/?q=Four+Seasons+Hotel+George+V+Paris,April to October,"Jeff Leatham floral installations, Le Cinq (3 Michelin stars), indoor swimming pool, courtyard dining.","Indoor swimming pool, luxury spa, 24-hour fitness center, courtyard garden, chauffeur service.","Le Cinq (3 Michelin stars), Le George (1 Michelin star), L'Orangerie (1 Michelin star), Bar.Le George.","The Spa at Four Seasons George V offering cutting-edge facials, hydrotherapy, and custom massages.","Private wine cellar tastings with head sommelier, perfume creation masterclasses, private Louvre tours.",Unrivaled Michelin-starred dining under one roof and breathtaking floral artistry in the heart of Paris.,TRUE,TRUE,TRUE,TRUE,FALSE,37,PUBLISHED
38,The Peninsula Hong Kong,Hong Kong,Hong Kong,Kowloon,Iconic City Luxury,Luxury Hotel / Resort,Iconic City Luxury,Hong Kong's legendary 'Grande Dame of the Far East' offering timeless colonial luxury and Rolls-Royce fleet.,"Operating since 1928, The Peninsula Hong Kong is an enduring symbol of colonial grandeur on the Kowloon waterfront. Famous for its classic afternoon tea in the lobby, green Rolls-Royce Phantom fleet, and rooftop helipad.",https://www.peninsula.com/en/hong-kong,https://www.peninsula.com/en/hong-kong/reservations,https://maps.google.com/?q=The+Peninsula+Hong+Kong,October to December,"Victoria Harbour views, iconic Rolls-Royce Phantom fleet, rooftop helipad, classic Lobby Afternoon Tea, Felix restaurant.","Roman-style indoor swimming pool, Peninsula Spa, fitness center, shopping arcade, rooftop helipad.","Gaddi's (French fine dining), Spring Moon (Cantonese), Felix, The Lobby.",The Peninsula Spa offering Ayurvedic and European wellness therapies with harbour views.,"Helicopter city tours, Peninsula Academy craft workshops, heritage harbor cruises on historical ferries.","The legendary grande dame of Asian hospitality, offering unmatched heritage and Rolls-Royce transfers.",TRUE,TRUE,TRUE,TRUE,FALSE,38,PUBLISHED
39,The St. Regis New York,United States,New York,New York,Iconic City Luxury,Luxury Hotel / Resort,Iconic City Luxury,A historic Fifth Avenue luxury landmark in New York City famed for its King Cole Bar and Old World elegance.,"Opened by John Jacob Astor IV in 1904, The St. Regis New York is a Midtown Manhattan icon. Known for its bespoke butler service, elegant crystal chandeliers, the birthplace of the Bloody Mary at King Cole Bar, and timeless Fifth Avenue sophistication.",https://www.marriott.com/en-us/hotels/nycst-the-st-regis-new-york,https://www.marriott.com/en-us/hotels/nycst-the-st-regis-new-york/overview,https://maps.google.com/?q=The+St.+Regis+New+York,September to November & April to June,"King Cole Bar (birthplace of the Red Snapper/Bloody Mary), 24-hour St. Regis Butler service, Fifth Avenue location.","Iridium Spa, 24-hour fitness center, house car service, chauffeur-driven Bentley, private event salons.","King Cole Bar, Astor Court.","Iridium Spa offering custom facials, massage therapies, and steam rooms.","Private Fifth Avenue shopping consultations, Central Park carriage tours, museum docent visits.",A historic Fifth Avenue masterpiece offering legendary butler service and classic New York aristocracy charm.,TRUE,TRUE,TRUE,TRUE,FALSE,39,PUBLISHED
40,The Connaught,United Kingdom,London,Greater London,Iconic City Luxury,Luxury Hotel / Resort,Iconic City Luxury,A legendary Mayfair luxury hotel celebrated for its discreet service and the iconic Coburg Bar.,"Situated on Carlos Place in Mayfair, The Connaught has been a home away from home for royalty and connoisseurs since 1897. Featuring exquisite British-meets-French design, the Aman Spa at The Connaught, and culinary brilliance by Hélène Darroze.",https://www.theconnaught.co.uk,https://www.theconnaught.co.uk/reservations,https://maps.google.com/?q=The+Connaught+London,May to September & December,"Hélène Darroze at The Connaught (3 Michelin stars), The Coburg Bar, Aman Spa with indoor pool, Mayfair location.","Indoor swimming pool, Aman Spa, 24-hour butler service, fitness center, chauffeur service.","Hélène Darroze at The Connaught (3 Michelin stars), The Connaught Grill, The Coburg Bar, The Red Room.","Aman Spa at The Connaught offering signature Eastern wellness treatments, pool, and steam rooms.","Private Mayfair art gallery tours, bespoke tailoring consultations on Savile Row, historic hotel tours.","Unsurpassed Mayfair discretion, world-class 3-Michelin-star dining, and legendary British charm.",TRUE,TRUE,TRUE,TRUE,FALSE,40,PUBLISHED
41,Singita Sabi Sand,South Africa,Sabi Sand,Mpumalanga,"Nature, Wellness & Bespoke Escapes",Luxury Hotel / Resort,"Nature, Wellness & Bespoke Escapes",An exclusive luxury safari lodge perched along the Sand River in South Africa's legendary Sabi Sand Reserve.,"Singita Bembeni / Sabi Sand is an ultra-exclusive wilderness lodge offering unrivaled leopard viewing and pristine wilderness immersion. Featuring stunning contemporary suites with private plunge pools, expert trackers, and world-class wine cellars.",https://singita.com/lodge/singita-beni-sabi-sand,https://singita.com/contact-us,https://maps.google.com/?q=Singita+Sabi+Sand+South+Africa,May to September (Dry winter months for game viewing),"Big Five game viewing, leopard sightings, private plunge pools, award-winning wine cellar, open safari vehicles.","Outdoor swimming pools, Singita spa, gym, boutique and gallery, airstrip access.","Bespoke fine dining crafted by private chefs, traditional boma dinners under the stars, extensive wine cellar.","Singita Wellness spa offering organic African therapies, massage, and yoga overlooking the bushveld.","Twice-daily game drives, guided bush walks, stargazing safaris, community village visits.",The gold standard of African conservation safari luxury with peerless leopard sightings and exquisite lodge design.,TRUE,TRUE,TRUE,TRUE,FALSE,41,PUBLISHED
42,Singita Kruger National Park,South Africa,Kruger National Park,Mpumalanga / Limpopo,"Nature, Wellness & Bespoke Escapes",Luxury Hotel / Resort,"Nature, Wellness & Bespoke Escapes",A pristine wilderness safari sanctuary in South Africa's Kruger National Park offering absolute seclusion.,"Singita Lebombo Lodge is perched dramatically on a cliff edge overlooking the N’Wanetsi River in Kruger National Park. Featuring glass-walled suites suspended over the wilderness, contemporary architectural design, and world-class wildlife tracking.",https://singita.com/lodge/singita-lebombo-lodge,https://singita.com/contact-us,https://maps.google.com/?q=Singita+Kruger+National+Park,May to September (Dry winter game viewing),"Cliffside glass suites overlooking river, prolific Big Five wildlife, rooftop sleep-out experiences, wine studio.","Lap swimming pool, Singita Spa, fitness center, wine studio, airstrip, gallery.","African-inspired gourmet dining, interactive open kitchen, wine pairings from private cellar.",Singita Spa offering wellness treatments inspired by African botanicals and holistic healing.,"Game drives in open-land Rovers, bush walks, bird watching, astronomy stargazing.",Stunning modernist cliffside architecture combined with one of Africa's most pristine wildlife conservation areas.,TRUE,TRUE,TRUE,TRUE,FALSE,42,PUBLISHED
43,Badrutt’s Palace,Switzerland,St. Moritz,Graubünden,"Nature, Wellness & Bespoke Escapes",Luxury Hotel / Resort,"Nature, Wellness & Bespoke Escapes",An iconic alpine palace hotel in St. Moritz offering legendary Swiss glamour and winter sports luxury.,"Badrutt’s Palace Hotel has defined luxury hospitality in St. Moritz since 1896. Overlooking Lake St. Moritz and the Engadin Alps, it offers legendary winter skiing, a subterranean spa, legendary nightlife at King's Social Club, and peerless Swiss service.",https://www.badruttspalace.com,https://www.badruttspalace.com/reservations,https://maps.google.com/?q=Badrutt's+Palace+St.+Moritz,December to April (Ski season) & July to August (Alpine summer),"Engadin Alps and Lake St. Moritz views, Palace Spa with outdoor infinity pool, King's Social Club, Rolls-Royce transfers.","Indoor and outdoor pools, Palace Spa, tennis courts, private ski school, Rolls-Royce fleet.","IGNIV by Andreas Caminada (2 Michelin stars), La Coupole-Matsuhisa, Chesa Veglia, Le Restaurant.","Palace Spa offering holistic alpine treatments, Finnish saunas, hydrotherapy, and snow rooms.","Skiing and snowboarding in St. Moritz, bobsleigh rides, alpine hiking, horse-drawn carriage rides around the lake.","The legendary alpine playground for global aristocracy, offering unmatched winter sports and palace luxury.",TRUE,TRUE,TRUE,TRUE,FALSE,43,PUBLISHED
44,The Chedi Andermatt,Switzerland,Andermatt,Uri,"Nature, Wellness & Bespoke Escapes",Luxury Hotel / Resort,"Nature, Wellness & Bespoke Escapes","A striking alpine architectural masterpiece in the heart of Andermatt, Switzerland, blending Asian minimalism with Swiss warmth.","The Chedi Andermatt is a stunning luxury hotel nestled in the Swiss Alps, designed by Jean-Michel Gathy. Combining traditional alpine chalet elements with Asian aesthetic principles, it features glass fireplaces, extensive wine libraries, and a 2,400-sq-m spa.",https://www.thechediandermatt.com,https://www.thechediandermatt.com/reservations,https://maps.google.com/?q=The+Chedi+Andermatt+Switzerland,December to April (Skiing) & July to September (Hiking),"2,400 sq m Spa & Health Club with indoor/outdoor pools, Cheese Tower, ski butler service, Michelin-starred Japanese restaurant.","Indoor and outdoor pools, award-winning spa, ski butler service, cigar lounge, wine library.","The Restaurant (Asian and Swiss dining), The Japanese Restaurant (1 Michelin star), The Wine and Cigar Library.","The Chedi Spa featuring Tibetan relaxation lounge, hydrotherapy, saunas, and custom massages.","Heliskiing, championship golf on Andermatt Swiss Alps Golf Course, alpine hiking, snowshoeing.",A breathtaking fusion of Asian zen and Swiss alpine grandeur with an exceptional spa and ski butler service.,TRUE,TRUE,TRUE,TRUE,FALSE,44,PUBLISHED
45,Capella Sydney,Australia,Sydney,New South Wales,"Nature, Wellness & Bespoke Escapes",Luxury Hotel / Resort,"Nature, Wellness & Bespoke Escapes",A sleek luxury hotel overlooking Sydney Harbour and the iconic Opera House.,"Capella Sydney occupies a magnificently restored historic Department of Lands building in the Sandstone Precinct. Featuring soaring interior atriums, contemporary art collections, and sophisticated rooms overlooking Sydney Harbour.",https://www.capellahotels.com/en/capella-sydney,https://www.capellahotels.com/en/capella-sydney/reservations,https://maps.google.com/?q=Capella+Sydney,September to November (Spring) & March to May (Autumn),"Restored heritage sandstone architecture, 20-meter indoor pool in vaulted atrium, Capella Culturists, proximity to Sydney Opera House.","Indoor heated swimming pool, Auriga spa, 24-hour fitness center, executive lounge.","Brasserie 1930, Aperture lounge bar, The Living Room.","Auriga Spa offering Australian botanical treatments, wellness therapy rooms, and steam rooms.","Private Sydney Harbour yacht charters, behind-the-scenes Sydney Opera House tours, coastal bushwalks.",An architectural masterpiece in downtown Sydney offering bespoke cultural curation and sophisticated luxury.,TRUE,TRUE,TRUE,TRUE,FALSE,45,PUBLISHED
46,Southern Ocean Lodge,Australia,Kangaroo Island,South Australia,"Nature, Wellness & Bespoke Escapes",Luxury Hotel / Resort,"Nature, Wellness & Bespoke Escapes","An award-winning eco-luxury wilderness lodge perched on the rugged cliffs of Kangaroo Island, South Australia.","Southern Ocean Lodge offers breathtaking, uninterrupted views of the wild Southern Ocean from its cliffside vantage point on Kangaroo Island. Featuring minimalist pavilion suites, exceptional local South Australian gastronomy, and immersive wildlife encounters.",https://southernoceanlodge.com.au,https://southernoceanlodge.com.au/reservations,https://maps.google.com/?q=Southern+Ocean+Lodge+Kangaroo+Island,December to February (Warm Australian summer) & September to November,"Cliffside ocean views from all suites, Kangaroo Island wildlife safaris, Southern Spa, Kangaroo Island gastronomy.","Plunge pools in suites, Southern Spa, open bar lounge, guided expedition vehicles, airstrip transfers.","The Great Room (seasonal South Australian cuisine and local wines), terrace bar.",Southern Spa featuring signature Li'Tya treatments incorporating indigenous Australian healing plants.,"Guided coastal walks, sea lion colony visits, koala tracking excursions, Remarkable Rocks tours.",The ultimate Australian coastal wilderness retreat combining cutting-edge sustainable design with rugged nature.,TRUE,TRUE,TRUE,TRUE,FALSE,46,PUBLISHED
